N° Funcionários,N° Tarefas,Tempo Médio (segundos),Algoritmo
50,48,0.0006618333333333333,Edmond-Karp
50,48,0.00033766666666666667,Ford-Fulkerson
100,100,0.0036778333333333337,Edmond-Karp
100,100,0.003255166666666667,Ford-Fulkerson
200,196,0.019868,Edmond-Karp
200,196,0.015221666666666668,Ford-Fulkerson
300,302,0.06847450000000001,Edmond-Karp
300,302,0.05094916666666666,Ford-Fulkerson
400,398,0.15653416666666667,Edmond-Karp
400,398,0.1151265,Ford-Fulkerson
500,498,0.42787749999999997,Edmond-Karp
500,498,0.21266633333333332,Ford-Fulkerson
600,602,0.6778425,Edmond-Karp
600,602,0.38153633333333326,Ford-Fulkerson
700,702,1.0751886666666668,Edmond-Karp
700,702,0.6837828333333333,Ford-Fulkerson
800,796,1.4825458333333332,Edmond-Karp
800,796,0.8792751666666666,Ford-Fulkerson
900,902,1.6551884999999997,Edmond-Karp
900,902,1.2741676666666668,Ford-Fulkerson
